tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,churn
32,87.98,2924.47,Two year,Electronic check,Fiber optic,No,Yes,No,No,Yes,No,Male,0,No,No,Yes,Yes,0
31,92.14,2790.26,One year,Credit card,Fiber optic,Yes,Yes,Yes,No,Yes,No,Female,1,No,No,No,No phone service,0
32,62.71,1986.11,Two year,Credit card,DSL,No,Yes,No,Yes,No,No,Female,1,No,No,Yes,Yes,0
48,99.55,4649.2,Two year,Mailed check,Fiber optic,No,Yes,Yes,No,Yes,Yes,Male,0,No,No,Yes,Yes,0
28,80.86,2235.31,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,Yes,No,No,Male,0,No,Yes,Yes,Yes,0
20,28.45,547.2,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,Yes,Yes,Yes,0
1,78.32,78.39,Month-to-month,Bank transfer,Fiber optic,No,Yes,No,No,No,No,Female,0,No,Yes,Yes,No,1
1,54.02,52.27,Month-to-month,Electronic check,DSL,No,Yes,No,No,Yes,No,Female,0,No,Yes,Yes,No,1
24,22.63,559.8,One year,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,Yes,Yes,No,0
9,77.65,726.61,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,No,No,Male,0,Yes,No,Yes,No,1
25,18.67,482.95,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,No,1
28,71.3,1948.38,Month-to-month,Credit card,DSL,No,No,Yes,Yes,Yes,Yes,Male,0,No,No,Yes,No,0
19,81.05,1587.12,One year,Mailed check,Fiber optic,No,Yes,No,No,Yes,No,Male,0,Yes,No,Yes,No,0
35,25.18,891.38,Two year,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,Yes,0
35,32.28,1141.89,Two year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,Yes,0
14,78.18,1114.26,Month-to-month,Electronic check,DSL,Yes,No,Yes,Yes,Yes,Yes,Female,0,Yes,No,No,No phone service,0
63,82.31,5315.05,One year,Electronic check,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,No,No phone service,0
26,85.89,2238.42,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,No,Yes,No,Male,1,No,No,Yes,No,1
72,51.53,3630.94,Two year,Mailed check,DSL,No,No,Yes,No,No,No,Male,0,Yes,No,Yes,No,0
8,63.36,509.56,Month-to-month,Electronic check,DSL,No,Yes,Yes,No,No,Yes,Male,1,Yes,No,Yes,No,1
28,25.63,751.31,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,Yes,1
16,16.81,269.03,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,1
18,77.84,1402.7,One year,Mailed check,Fiber optic,No,No,No,No,No,Yes,Female,0,No,Yes,Yes,No,0
10,54.62,522.92,One year,Mailed check,DSL,No,No,No,No,No,Yes,Female,0,No,No,No,No phone service,0
58,80.22,4885.3,Two year,Bank transfer,Fiber optic,No,No,Yes,Yes,No,No,Female,0,Yes,Yes,Yes,No,0
14,16.16,228.51,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,No,No phone service,1
28,15.87,441.54,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,Yes,Yes,No,No phone service,0
61,45.51,2641.2,Two year,Credit card,DSL,No,No,Yes,No,No,No,Female,0,Yes,No,No,No phone service,0
24,47.32,1088.29,Month-to-month,Electronic check,DSL,No,No,No,Yes,No,No,Male,0,Yes,No,Yes,No,0
62,26.6,1591.2,One year,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,Yes,Yes,Yes,0
3,22.21,66.1,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,Yes,Yes,Yes,1
32,72.06,2306.94,Two year,Electronic check,Fiber optic,No,No,No,No,No,No,Female,0,No,No,Yes,No,0
27,85.79,2274.66,Month-to-month,Electronic check,Fiber optic,No,Yes,Yes,No,No,No,Male,0,No,No,Yes,Yes,1
11,95.53,1065.5,One year,Mailed check,Fiber optic,Yes,No,Yes,No,Yes,No,Female,0,Yes,No,Yes,Yes,0
38,89.47,3466.83,Month-to-month,Mailed check,Fiber optic,No,No,No,Yes,No,Yes,Male,0,No,Yes,Yes,Yes,0
31,19.18,600.6,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,No,No phone service,1
20,66.87,1399.44,Two year,Credit card,DSL,Yes,Yes,Yes,No,No,No,Female,0,No,Yes,Yes,Yes,0
