sqft,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
2170,4,2.25,1.0,0,0,5,7,1917,0,98125,47.7266,-122.307,2190,14750,488000
1900,3,2.5,1.0,0,0,4,7,1985,0,98103,47.6632,-122.361,1740,2450,443000
2450,5,3.25,1.0,0,0,3,8,1988,0,98052,47.6762,-122.14,1470,11130,1194000
2140,5,2.75,1.0,0,0,5,8,1917,0,98112,47.6495,-122.3,2310,2510,790000
1910,3,2.0,1.0,0,0,3,10,1952,1990,98059,47.4829,-122.123,1580,10560,650000
1250,3,2.0,1.0,0,0,4,5,1961,0,98031,47.4093,-122.173,1250,5800,180000
5490,7,5.5,1.0,0,0,3,11,1954,0,98125,47.7249,-122.29,4320,5020,1471000
2500,3,3.5,1.0,0,0,3,8,2013,0,98103,47.6783,-122.328,1730,7700,762000
1400,3,1.75,1.0,0,0,3,5,1922,0,98033,47.67,-122.192,980,11550,466000
2030,5,2.25,1.0,0,0,3,8,1938,2008,98125,47.7145,-122.298,1810,10460,570000
1570,3,1.75,1.5,0,0,3,8,1960,0,98103,47.6808,-122.351,1550,15930,459000
1790,3,2.5,2.0,0,1,3,7,1911,0,98004,47.6255,-122.21,1700,5270,792000
1500,3,2.25,1.0,0,1,3,6,1916,0,98059,47.514,-122.137,1470,13930,367000
2070,3,2.5,1.0,0,0,3,7,1941,0,98117,47.6775,-122.368,2180,4580,502000
2280,4,2.5,2.0,0,0,3,7,1999,0,98112,47.6252,-122.289,2300,10340,1067000
1370,2,1.25,1.0,0,2,4,8,1993,0,98117,47.676,-122.358,1230,13860,592000
2180,5,2.25,1.0,0,0,4,7,1962,0,98004,47.6301,-122.206,1670,9930,882000
2290,4,3.0,2.0,0,0,3,8,2013,0,98178,47.5155,-122.245,2050,4670,420000
3450,7,3.75,2.0,0,0,3,8,1994,0,98199,47.6531,-122.389,1600,2300,1059000
1610,4,1.75,1.0,0,0,4,6,1920,0,98033,47.6639,-122.205,1350,10730,483000
3470,7,3.75,2.0,0,0,5,10,1926,0,98118,47.5286,-122.28,3230,14600,778000
1410,4,1.75,2.0,0,0,3,8,1903,0,98059,47.4963,-122.147,1320,7330,411000
1650,3,2.25,1.5,0,0,4,6,1919,0,98117,47.6848,-122.396,1250,4740,552000
2040,4,3.0,1.5,0,0,3,7,1990,0,98004,47.6321,-122.195,1710,3110,999000
1520,4,2.0,2.0,0,0,3,6,1910,0,98199,47.6551,-122.39,1570,7540,535000
4580,7,5.5,2.0,0,0,3,11,1926,0,98031,47.3946,-122.2,3980,4460,1046000
2040,4,3.25,3.0,0,0,4,7,1996,0,98125,47.7154,-122.302,2070,8120,469000
1290,3,1.5,2.0,0,0,5,7,1977,0,98118,47.5479,-122.273,1290,12150,308000
2230,3,2.75,1.0,0,1,5,8,1998,0,98199,47.6243,-122.381,2130,2930,1098000
2760,4,4.0,1.5,0,0,3,9,1921,0,98023,47.2957,-122.342,2340,3250,478000
